age_group,exposure,hospital_days,days_at_risk,inc_rate,irr
0-4,Ever placed,22279,6618603,3.37 (3.32 to 3.41),2.4 (2.4 to 2.4)
0-4,Never placed,18743,13362678,1.40 (1.38 to 1.42),2.4 (2.4 to 2.4)
0-1,Ever placed,10099,1243038,8.12 (7.97 to 8.28),2.3 (2.3 to 2.4)
0-1,Never placed,8779,2511817,3.50 (3.42 to 3.57),2.3 (2.3 to 2.4)
1-2,Ever placed,6897,1341549,5.14 (5.02 to 5.26),2.8 (2.7 to 2.9)
1-2,Never placed,4953,2709182,1.83 (1.78 to 1.88),2.8 (2.7 to 2.9)
2-3,Ever placed,2628,1341158,1.96 (1.89 to 2.04),2.6 (2.4 to 2.7)
2-3,Never placed,2061,2705837,0.76 (0.73 to 0.80),2.6 (2.4 to 2.7)
3-4,Ever placed,1364,1339569,1.02 (0.96 to 1.07),1.6 (1.5 to 1.8)
3-4,Never placed,1674,2703718,0.62 (0.59 to 0.65),1.6 (1.5 to 1.8)
4-5,Ever placed,1291,1338567,0.96 (0.91 to 1.02),2 (1.9 to 2.2)
4-5,Never placed,1276,2702404,0.47 (0.45 to 0.50),2 (1.9 to 2.2)
5-9,Ever placed,4057,6061206,0.67 (0.65 to 0.69),1.7 (1.7 to 1.8)
5-9,Never placed,4729,12258091,0.39 (0.37 to 0.40),1.7 (1.7 to 1.8)
5-6,Ever placed,1451,1338053,1.08 (1.03 to 1.14),2.3 (2.1 to 2.5)
5-6,Never placed,1279,2701566,0.47 (0.45 to 0.50),2.3 (2.1 to 2.5)
6-7,Ever placed,903,1301725,0.69 (0.65 to 0.74),1.5 (1.4 to 1.6)
6-7,Never placed,1214,2628699,0.46 (0.44 to 0.49),1.5 (1.4 to 1.6)
7-8,Ever placed,694,1224675,0.57 (0.53 to 0.61),1.6 (1.5 to 1.8)
7-8,Never placed,856,2477027,0.35 (0.32 to 0.37),1.6 (1.5 to 1.8)
8-9,Ever placed,559,1137566,0.49 (0.45 to 0.53),1.8 (1.6 to 2)
8-9,Never placed,643,2303830,0.28 (0.26 to 0.30),1.8 (1.6 to 2)
9-10,Ever placed,450,1045819,0.43 (0.39 to 0.47),1.2 (1.1 to 1.4)
9-10,Never placed,737,2119935,0.35 (0.32 to 0.37),1.2 (1.1 to 1.4)
10-14,Ever placed,2124,3680014,0.58 (0.55 to 0.60),2.5 (2.3 to 2.6)
10-14,Never placed,1745,7489180,0.23 (0.22 to 0.24),2.5 (2.3 to 2.6)
10-11,Ever placed,522,955179,0.55 (0.50 to 0.60),2 (1.7 to 2.2)
10-11,Never placed,539,1935665,0.28 (0.26 to 0.30),2 (1.7 to 2.2)
11-12,Ever placed,381,847190,0.45 (0.41 to 0.50),1.7 (1.5 to 2)
11-12,Never placed,454,1719735,0.26 (0.24 to 0.29),1.7 (1.5 to 2)
12-13,Ever placed,370,734763,0.50 (0.45 to 0.56),1.9 (1.6 to 2.1)
12-13,Never placed,406,1496527,0.27 (0.25 to 0.30),1.9 (1.6 to 2.1)
13-14,Ever placed,284,620487,0.46 (0.41 to 0.51),2.6 (2.2 to 3.2)
13-14,Never placed,220,1266580,0.17 (0.15 to 0.20),2.6 (2.2 to 3.2)
14-15,Ever placed,567,514329,1.10 (1.01 to 1.20),9.2 (7.6 to 11.3)
14-15,Never placed,126,1054253,0.12 (0.10 to 0.14),9.2 (7.6 to 11.3)
All,Ever placed,28460,16359823,1.74 (1.72 to 1.76),2.3 (2.2 to 2.3)
All,Never placed,25217,33109949,0.76 (0.75 to 0.77),2.3 (2.2 to 2.3)
