diag,place_0_04,place_1_04,place_0_59,place_1_59,place_0_1014,place_1_1014
Acute Bronchiolitis,1082 (19.9%),1020 (21.0%),n.p.,n.p.,n.p.,n.p.
Acute Rheumatic Fever,5 (0.1%),n.p.,17 (1.0%),24 (1.9%),28 (5.4%),21 (5.1%)
Acute Upper Respiratory Tract Infection Excluding Croup,562 (10.3%),516 (10.6%),84 (4.8%),59 (4.8%),37 (7.1%),28 (6.8%)
Asthma,376 (6.9%),307 (6.3%),118 (6.7%),61 (5.0%),38 (7.3%),16 (3.9%)
Bacterial Meningitis,n.p.,8 (0.2%),,,,
Bacterial/Unspecified Pneumonia,456 (8.4%),430 (8.8%),109 (6.2%),80 (6.5%),23 (4.4%),41 (9.9%)
Bronchiectasis,12 (0.2%),12 (0.2%),11 (0.6%),7 (0.6%),5 (1.0%),9 (2.2%)
Chronic Rheumatic Heart Disease,n.p.,n.p.,n.p.,n.p.,n.p.,5 (1.2%)
Constipation,24 (0.4%),11 (0.2%),25 (1.4%),33 (2.7%),21 (4.0%),12 (2.9%)
Croup/Acute Laryngitis/Tracheitis,147 (2.7%),67 (1.4%),34 (1.9%),15 (1.2%),6 (1.1%),n.p.
Dental (Dental Caries/Pulp/Periodontal),425 (7.8%),260 (5.3%),435 (24.7%),287 (23.3%),53 (10.1%),49 (11.8%)
Dermatitis/Eczema,24 (0.4%),29 (0.6%),10 (0.6%),n.p.,7 (1.3%),n.p.
Febrile Convulsions,56 (1.0%),36 (0.7%),5 (0.3%),n.p.,,
Gastro Oesophageal Reflux,16 (0.3%),28 (0.6%),n.p.,n.p.,n.p.,n.p.
Gastroenteritis,918 (16.9%),801 (16.5%),119 (6.7%),60 (4.9%),36 (6.9%),16 (3.9%)
Meningococcal Disease,12 (0.2%),9 (0.2%),n.p.,n.p.,n.p.,n.p.
Nutritional Deficiency,43 (0.8%),60 (1.2%),10 (0.6%),7 (0.6%),11 (2.1%),8 (1.9%)
Osteomyelitis,20 (0.4%),14 (0.3%),14 (0.8%),8 (0.6%),5 (1.0%),10 (2.4%)
Otitis Media,438 (8.0%),505 (10.4%),286 (16.2%),240 (19.5%),61 (11.7%),46 (11.1%)
Skin Infection,494 (9.1%),454 (9.3%),379 (21.5%),244 (19.8%),142 (27.2%),105 (25.4%)
Tuberculosis,n.p.,n.p.,,,,
Vaccine Preventable Diseases,26 (0.5%),18 (0.4%),,,n.p.,n.p.
Viral Infection Of Unspecified Site,237 (4.4%),190 (3.9%),46 (2.6%),50 (4.1%),17 (3.3%),7 (1.7%)
Viral Pneumonia,59 (1.1%),74 (1.5%),8 (0.5%),n.p.,n.p.,5 (1.2%)
Viral/Other/Unspecified Meningitis,9 (0.2%),14 (0.3%),5 (0.3%),n.p.,n.p.,5 (1.2%)
Urinary Tract Infection,,,44 (2.5%),42 (3.4%),23 (4.4%),23 (5.6%)
